content_id,client_id,baseline_score,suggested_action,reason_codes,impressions_90d,days_since_last_update,avg_position,ctr,engagement_rate,trend_direction
content_cf56e2e2e282,client_7f2253d7e2,61678,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",61678,194,19.7,0.15,0.84,down
content_7368877ea310,client_7f2253d7e2,59472,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",59472,194,24.8,0.13,3.66,down
content_1bfaa38ff26c,client_7f2253d7e2,25715,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",25715,194,22.2,0.23,3.75,down
content_0a91db491d14,client_7f2253d7e2,13299,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",13299,193,10.5,0.49,5.13,down
content_5feee3994adb,client_7f2253d7e2,7812,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",7812,194,39.0,0.01,0.0,down
content_c2d929d83eaa,client_7f2253d7e2,7558,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",7558,193,17.9,0.2,0.0,down
content_b16bd7307b39,client_7f2253d7e2,4590,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",4590,194,31.0,0.0,0.0,down
content_fe16a55cd13d,client_7f2253d7e2,4556,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",4556,194,16.4,0.33,2.38,down
content_ecb6215e79fd,client_7f2253d7e2,4429,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr",4429,194,25.3,0.38,25.0,down
content_928af3e22c80,client_7f2253d7e2,1697,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",1697,193,15.8,0.12,0.0,down
content_e3ff1b093148,client_d029fa3a95,1408,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",1408,183,7.8,0.28,0.0,down
content_bdbec75c1148,client_7f2253d7e2,1316,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",1316,194,21.8,0.15,0.0,stable
content_7f116ae1f6f5,client_9400f1b21c,954,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",954,301,9.0,0.42,0.0,down
content_77d4d5930e5e,client_7f2253d7e2,828,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr",828,194,18.6,0.24,50.0,down
content_72496874f806,client_4ec9599fc2,821,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",821,301,5.8,0.24,0.0,down
content_6226ee6adc91,client_d029fa3a95,545,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",545,183,17.8,0.18,0.0,down
content_074ba6ead17b,client_d029fa3a95,533,refresh_and_review_ctr,"stale_content, high_visibility, low_ctr, low_engagement",533,183,48.0,0.0,0.0,down
content_e3393b0b5359,client_4e07408562,0,monitor,"low_ctr, low_engagement",457,13,26.4,0.0,0.0,stable
content_f21e4a700f92,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",555,20,22.7,0.0,0.0,down
content_ccaae106ecb6,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",43654,104,36.6,0.06,1.09,stable
content_b8545cf96378,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",1899,104,12.6,0.0,0.0,down
